item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q108504530,Georges Khoury,Q72548737,Justice,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108504530-8e00c3c2-48dc-d975-686a-4f7b004bdcee
Q108504531,Abdallah Bou Habib,Q53260076,Foreign Affairs,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108504531-6AEC5DCB-602B-4883-BA90-89E230B6F89E
Q108504532,Maurice Sleem,Q53261455,Defense,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108504532-C0D72A4B-BD0D-4CC4-8F16-8CC29A840843
Q108504533,Bassam Mawlawi,Q105164607,Interior,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108504533-467f31e5-4363-b80f-dd7f-7d0209a3a786
Q108504534,Amin Salam,Q114287636,Economy,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108504534-4B75D18B-926B-4747-94A5-66F41013ACA0
Q108507913,Saadeh Al Shami,Q111954002,Deputy Prime Minister,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108507913-D12C7B74-9EEF-439F-8715-25E9AA246A84
Q108508019,Walid Fayad,Q114285978,Energy and Water,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108508019-A2A1FA92-1876-4F97-AD28-68CC98E56F96
Q108508021,Ali Hamiyeh,Q114287653,Public Works,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108508021-B893A51A-33B0-459C-B564-4FD0192925FD
Q108508022,Abbas Halabi,Q73432426,Information,2021-12-03,2022-03-10,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108508022-6CEEEC04-0F4E-41CC-85C9-0F11665AFBDD
Q108508022,Abbas Halabi,Q79199745,Education,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108508022-C2BDA303-00FE-42F7-912B-14C833F0CCD4
Q108508023,Firas Abiad,Q114287648,Health,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108508023-E27EE0A8-A904-40EA-BAEE-1A90BC3F1814
Q108508025,Moustafa Bayram,Q114286280,Labor,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108508025-2CE414A9-6FF3-47D4-AC3A-4AB5231AED9A
Q108508033,Walid Nassar,Q114287656,Tourism,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108508033-8B214CAF-0D5F-4272-BB5E-329472427A75
Q108508043,Issam Charafeddine,Q113130323,Displaced,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108508043-910F85C6-8235-4CF4-BE3F-43E19E8239F1
Q108508044,George Khallas,Q114287764,Youth,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108508044-6b5a0937-487d-448c-11fb-d47ccba4c7d3
Q108508045,Nasser Yassine,Q30306351,Environment,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108508045-60bc4fec-4472-21d0-e41f-0f05496f4c7d
Q108508046,Abbas Al Haj Hassan,Q114286181,Agriculture,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108508046-3864E034-187C-46AF-BD43-27B8A435998B
Q108508047,Mohammad Mortada,Q25820215,Culture,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108508047-01F07C99-B9AC-4F60-A917-E7F53FB69036
Q108508048,George Bojikan,Q114287658,Industry,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108508048-77AD8DEF-FD36-45DE-BC41-85B06C7E252E
Q108508058,Johnny Corm,Q114285944,Telecommunications,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108508058-84B7ED2D-177B-4BEF-933A-642F8CEDA101
Q108524635,Najla Riachi,Q114287650,Administrative Reform,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108524635-8DD008E0-28E0-4B54-87E3-9D7B73AA0123
Q108524708,Hector Hajjar,Q114287654,Social Affairs,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q108524708-4DE58FFA-B903-4B9E-AE7F-6B0F511BB3B9
Q111685992,Ziad Makary,Q73432426,Information,2022-03-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q111685992-6AA61B2E-F1B6-4F21-8276-821B8ABDD9D1
Q2094707,Selim al-Hoss,Q114287636,Minister of Economy and Trade,1976,,,Q2094707-d4adc186-4945-3eee-f390-f6d63de7917d
Q318493,Najib Mikati,Q14915225,Prime Minister,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q318493-0D26FDE2-8EE8-4349-B7CF-D8F9B8624A7E
Q3572943,Youssef Khalil,Q114287637,Finance,2021-09-10,,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q3572943-927240CF-B603-4CB4-8191-30DD44050F72
Q4165335,George Kurdahi,Q73432426,Information,2021-09-10,2021-12-03,https://en.wikipedia.org/wiki/Third_Cabinet_of_Najib_Mikati,Q4165335-1BED49C3-0729-466A-98A9-C463184877AA
